acc_id_src,acc_id_dst,txn_id,datetime,amount
0,71,0,2020-11-17 22:54:32,700
0,41,1,2020-11-16 01:36:32,200
0,26,2,2020-11-11 06:58:49,600
0,47,3,2020-11-16 07:14:01,300
0,47,4,2020-11-13 09:47:29,700
0,98,5,2020-11-12 22:18:24,600
0,98,6,2020-11-18 14:16:08,800
0,57,7,2020-11-19 20:29:15,700
0,47,8,2020-11-14 01:53:55,700
0,72,9,2020-11-16 12:10:17,500
0,98,10,2020-11-10 16:49:13,800
0,72,11,2020-11-19 00:46:41,800
0,72,12,2020-11-13 01:33:31,900
0,53,13,2020-11-13 06:46:54,300
0,36,14,2020-11-16 12:48:39,900
0,47,15,2020-11-10 11:47:49,100
0,57,16,2020-11-15 01:36:48,500
0,76,17,2020-11-14 12:24:01,500
0,41,18,2020-11-11 14:28:32,800
0,26,19,2020-11-18 05:22:43,900
0,41,20,2020-11-12 23:21:30,200
0,41,21,2020-11-14 13:19:06,700
0,41,22,2020-11-12 19:13:41,800
0,53,23,2020-11-19 07:11:02,200
0,71,24,2020-11-18 18:33:06,300
0,71,25,2020-11-18 01:26:12,100
0,47,26,2020-11-16 23:16:37,700
0,72,27,2020-11-17 09:19:43,500
0,36,28,2020-11-17 19:09:53,900
0,76,29,2020-11-11 03:16:04,500
0,76,30,2020-11-18 10:56:18,100
0,26,31,2020-11-15 01:41:55,700
0,36,32,2020-11-19 15:21:33,300
0,98,33,2020-11-12 01:08:27,400
0,76,34,2020-11-13 22:41:50,100
0,76,35,2020-11-13 17:29:19,300
0,57,36,2020-11-10 23:00:31,100
0,98,37,2020-11-11 06:59:04,900
0,71,38,2020-11-14 15:57:54,200
0,47,39,2020-11-12 23:19:09,100
1,44,100,2020-11-17 22:54:32,700
1,20,101,2020-11-16 01:36:32,200
1,12,102,2020-11-11 06:58:49,600
1,30,103,2020-11-16 07:14:01,300
1,30,104,2020-11-13 09:47:29,700
1,75,105,2020-11-12 22:18:24,600
1,72,106,2020-11-18 14:16:08,800
1,37,107,2020-11-19 20:29:15,700
1,30,108,2020-11-14 01:53:55,700
1,47,109,2020-11-16 12:10:17,500
1,72,110,2020-11-10 16:49:13,800
1,47,111,2020-11-19 00:46:41,800
1,52,112,2020-11-13 01:33:31,900
1,31,113,2020-11-13 06:46:54,300
1,15,114,2020-11-16 12:48:39,900
1,28,115,2020-11-10 11:47:49,100
1,42,116,2020-11-15 01:36:48,500
1,55,117,2020-11-14 12:24:01,500
1,27,118,2020-11-11 14:28:32,800
1,90,119,2020-11-10 19:22:51,900
2,61,200,2020-11-17 22:54:32,700
2,31,201,2020-11-16 01:36:32,200
2,8,202,2020-11-11 06:58:49,600
2,40,203,2020-11-16 07:14:01,300
2,40,204,2020-11-13 09:47:29,700
2,91,205,2020-11-12 22:18:24,600
2,89,206,2020-11-18 14:16:08,800
2,54,207,2020-11-19 20:29:15,700
2,40,208,2020-11-14 01:53:55,700
2,73,209,2020-11-16 12:10:17,500
3,71,300,2020-11-17 22:54:32,700
3,34,301,2020-11-16 01:36:32,200
3,17,302,2020-11-11 06:58:49,600
3,46,303,2020-11-16 07:14:01,300
3,46,304,2020-11-13 09:47:29,700
3,88,305,2020-11-12 22:18:24,600
3,87,306,2020-11-18 14:16:08,800
3,53,307,2020-11-19 20:29:15,700
3,46,308,2020-11-14 01:53:55,700
3,79,309,2020-11-16 12:10:17,500
3,87,310,2020-11-10 16:49:13,800
3,79,311,2020-11-19 00:46:41,800
