form_id,interest_type,details,business_name,company_id,company_code,address,created
DPI-0000,Partnerships,Half Partnership,Edwin Clinic,ABN 43 399 724 727,,"120 Perennial Drive, Sunshine North, 3034",15-Feb-2021
DPI-0000,Investments,470000 Long Term,The Trustee for Vinimini Self Managed Super,ABN 46 321 575 688,,,15-Feb-2021
DPI-0000,Other Assets,Morris Minor - Mnti,,,,,15-Feb-2021
DPI-0000,Share Holdings,Afterpay Ltd,,,APT,,15-Feb-2021
DPI-0000,Other Source of Income,Crochet Classes for Execs,Cindy Clinic,ABN 41 347 279 364,,"123 Fred St, Footscray, 3011",15-Feb-2021
DPI-0001,"Gift, Sponsorsored Travel, Hospitality",Gold Coast Conference,Johnson & Johnson,,,,29-Dec-2021
DPI-0001,Real Estate,Owned Property for Rental,,,,"123 Fred St, Footscray, 3011",29-Dec-2021
DPI-0001,"Gift, Sponsorsored Travel, Hospitality",Travel to International Conference,Johnson & Johnson,,,,29-Dec-2021
DPI-0001,Trusts/Nominees,Family Trust,Sarah Accounting,,,,29-Dec-2021
DPI-0001,Partnerships,Quarter Partnership,Joshua Property,ABN 45 303 156 248,,"77 Natalia Avenue, Oakleigh South, 3166",29-Dec-2021
DPI-0002,Partnerships,25% Partnership,Tony Builders,ABN 42 355 413 240,,"94 High Street Road, Wantirna South, 3133",21-Sep-2021
DPI-0002,Investments,360000 Family Investment,GP SELF MANAGED SUPERANNUATION FUND,ABN 44 356 165 369,,,21-Sep-2021
DPI-0002,Trusts/Nominees,Business Trust,Mason Builders,,,,21-Sep-2021
DPI-0003,Trusts/Nominees,Family Trust,Matthew Lawyers,,,,26-Sep-2021
DPI-0003,Investments,330000 Investment,JGW SELF MANAGED SUPER TRUST,ABN 41 329 128 864,,,26-Sep-2021
DPI-0003,Share Holdings,Australia and New Zealand Banking Group Ltd,,,ANZ,,26-Sep-2021
DPI-0003,"Gift, Sponsorsored Travel, Hospitality",Travel to International Conference,Johnson & Johnson,,,,26-Sep-2021
DPI-0003,Investments,260000 Investment,The Trustee for SET Managed Future Fund,ABN 43 323 584 552,,,26-Sep-2021
