order_no,invoice_no,category,sub_category,purchase_header,buyer_employee_id,approver_employee_id,supplier_name,company_id,supplier_id,contract_value,created
EOR686321,EHR-6006010,Administrative Support,Mail,RENTAL OR LEASE SERVICES OF AGRICULTURAL AIRCRAFT AIRPORT,E600764,E600809,Jose Builders,ABN 44 379 589 591,S3078,410000,09-Apr-2022
EOR686322,EHR-6006011,Administrative Support,Printing,Fees (Not Otherwise Classified),E601006,E600911,Kimberly Lawyers,ABN 46 317 150 125,S3016,230000,29-Mar-2021
EOR686323,EHR-6006012,Administrative Support,Mail,JANITORIAL SUPPLIES GENERAL LINE,E600758,E600475,Nancy Management,ABN 42 383 612 748,S3082,210000,03-Sep-2021
EOR686324,EHR-6006013,Travel,Local,Eye Glasses Including Sunglasses  (Including Frames Cases,E600722,E601421,Zachary Lawyers,ABN 44 397 380 528,S3096,840000,06-Mar-2022
EOR686325,EHR-6006014,Information Technology,Hardware,DATA PROCESSING COMPUTER PROGRAMMING AND SOFTWARE SERVICE,E600482,E601367,Tony Builders,ABN 42 355 413 240,S3054,840000,25-Oct-2021
EOR686326,EHR-6006015,Administrative Support,Printing,GASES CONTAINERS EQUIPMENT: LABORATORY MEDICAL AND WELDI,E601452,E600907,Joshua Property,ABN 45 303 156 248,S3002,310000,08-Jun-2022
EOR686327,EHR-6006016,Information Technology,Software,Bandages (All Types) Adhesive Tapes Dressings Plaster of,E601270,E600781,Christie Property,ABN 45 349 357 654,S3048,780000,20-Sep-2021
EOR686328,EHR-6006017,Professional Services,Other Professional Services,PLUMBING EQUIPMENT FIXTURES AND SUPPLIES,E600778,E600173,Linda Property,ABN 47 361 621 790,S3060,340000,24-Apr-2021
EOR686329,EHR-6006018,Administrative Support,Stationery,TELECOMMUNICATION EQUIPMENT ACCESSORIES AND SUPPLIES,E600418,E601243,Stephanie Clinic,ABN 47 377 126 660,S3076,330000,20-Sep-2021
EOR686330,EHR-6006019,Information Technology,Hardware,Paint Equipment Accessories and Supplies (Not Otherwise Cla,E600552,E601197,Monique Builders,ABN 45 301 598 208,S3000,260000,18-May-2022
EOR686331,EHR-60060110,Administrative Support,Stationery,ROAD AND HIGHWAY BUILDING MATERIALS (ASPHALTIC),E601148,E600117,Ronald Accounting,ABN 44 394 582 439,S3093,390000,11-Jun-2022
EOR686332,EHR-60060111,Information Technology,Hardware,IV Additive Equipment and Supplies: Bands Caps Dispensing,E601022,E600055,William Finance,ABN 42 385 674 247,S3084,570000,13-Dec-2021
EOR686333,EHR-60060112,Professional Services,Other Professional Services,ENGINEERING SERVICES PROFESSIONAL,E600926,E600627,Richard Clinic,ABN 42 396 712 319,S3095,820000,19-Jan-2022
EOR686334,EHR-60060113,Insurance,Property,Lumber Hardwood All Kinds,E600154,E601089,Ann Physiotherapy,ABN 41 375 498 344,S3074,20000,01-Mar-2021
EOR686335,EHR-60060114,Professional Services,Technical Consulting,Grants Community Service Programs,E600670,E600051,Christine Digital,ABN 43 391 498 897,S3090,450000,09-Mar-2022
EOR686336,EHR-60060115,Administrative Support,Printing,PRINTING PLANT EQUIPMENT AND SUPPLIES (EXCEPT PAPER),E600928,E600031,Maria Consulting,ABN 47 320 810 296,S3019,320000,14-Apr-2022
EOR686337,EHR-60060116,Information Technology,Software,Eye Glasses Including Sunglasses  (Including Frames Cases,E600862,E600495,Ronald Hotel,ABN 46 345 649 637,S3044,590000,01-Jan-2022
