part_id,prod_lot,place_id,ship_lot
M01,00001,F01,00001
M01,00002,F01,00002
M01,00003,F01,00003
M01,00004,F01,00004
M01,00005,F01,00005
M01,00006,F01,00006
M01,00007,F01,00007
M01,00008,F01,00008
M01,00009,F01,00009
M01,00010,F01,00010
M01,00011,F01,00011
M01,00012,F01,00012
M01,00013,F01,00013
M01,00014,F01,00014
M01,00015,F01,00015
M01,00016,F01,00016
M01,00017,F01,00017
M01,00018,F01,00018
M01,00019,F01,00019
M01,00020,F01,00020
M01,00021,F01,00021
M01,00022,F01,00022
M01,00023,F01,00023
M01,00024,F01,00024
M01,00025,F01,00025
M01,00026,F01,00026
M01,00027,F01,00027
M01,00028,F01,00028
M01,00029,F01,00029
M01,00030,F01,00030
M01,00031,F01,00031
M01,00032,F01,00032
M01,00033,F01,00033
M01,00034,F01,00034
M01,00035,F01,00035
M01,00036,F01,00036
M01,00037,F01,00037
M01,00038,F01,00038
M01,00039,F01,00039
M01,00040,F01,00040
M01,00041,F01,00041
M01,00042,F01,00042
M01,00043,F01,00043
M01,00044,F01,00044
M01,00045,F01,00045
M01,00046,F01,00046
M01,00047,F01,00047
M01,00048,F01,00048
M01,00049,F01,00049
M01,00050,F01,00050
M01,00051,F01,00051
M01,00052,F01,00052
M01,00053,F01,00053
M01,00054,F01,00054
M01,00055,F01,00055
M01,00056,F01,00056
M01,00057,F01,00057
M01,00058,F01,00058
M01,00059,F01,00059
M01,00060,F01,00060
M01,00061,F01,00061
M01,00062,F01,00062
M01,00063,F01,00063
M01,00064,F01,00064
M01,00065,F01,00065
M01,00066,F01,00066
M01,00067,F01,00067
M01,00068,F01,00068
M01,00069,F01,00069
M01,00070,F01,00070
M01,00071,F01,00071
M01,00072,F01,00072
M01,00073,F01,00073
M01,00074,F01,00074
M01,00075,F01,00075
M01,00076,F01,00076
M01,00077,F01,00077
M01,00078,F01,00078
M01,00079,F01,00079
M01,00080,F01,00080
M01,00081,F01,00081
M01,00082,F01,00082
M01,00083,F01,00083
M01,00084,F01,00084
M01,00085,F01,00085
M01,00086,F01,00086
M01,00087,F01,00087
M01,00088,F01,00088
M01,00089,F01,00089
M01,00090,F01,00090
M01,00091,F01,00091
M01,00092,F01,00092
M01,00093,F01,00093
M01,00094,F01,00094
M01,00095,F01,00095
M01,00096,F01,00096
M01,00097,F01,00097
M01,00098,F01,00098
M01,00099,F01,00099
M01,00100,F01,00100
M01,00101,F01,00101
M01,00102,F01,00102
M01,00103,F01,00103
M01,00104,F01,00104
M01,00105,F01,00105
M01,00106,F01,00106
M01,00107,F01,00107
M01,00108,F01,00108
M01,00109,F01,00109
M01,00110,F01,00110
M01,00111,F01,00111
M01,00112,F01,00112
M01,00113,F01,00113
M01,00114,F01,00114
M01,00115,F01,00115
M01,00116,F01,00116
M01,00117,F01,00117
M01,00118,F01,00118
M01,00119,F01,00119
M01,00120,F01,00120
M01,00121,F01,00121
M01,00122,F01,00122
M01,00123,F01,00123
M01,00124,F01,00124
M01,00125,F01,00125
M01,00126,F01,00126
M01,00127,F01,00127
M01,00128,F01,00128
M01,00129,F01,00129
M01,00130,F01,00130
M01,00131,F01,00131
M01,00132,F01,00132
M01,00133,F01,00133
M01,00134,F01,00134
M01,00135,F01,00135
M01,00136,F01,00136
M01,00137,F01,00137
M01,00138,F01,00138
M01,00139,F01,00139
M01,00140,F01,00140
M01,00141,F01,00141
M01,00142,F01,00142
M01,00143,F01,00143
M01,00144,F01,00144
M01,00145,F01,00145
M01,00146,F01,00146
M01,00147,F01,00147
M01,00148,F01,00148
M01,00149,F01,00149
M01,00150,F01,00150
M01,00151,F01,00151
M01,00152,F01,00152
M01,00153,F01,00153
M01,00154,F01,00154
M01,00155,F01,00155
M01,00156,F01,00156
M01,00157,F01,00157
M01,00158,F01,00158
M01,00159,F01,00159
M01,00160,F01,00160
M01,00161,F01,00161
M01,00162,F01,00162
M01,00163,F01,00163
M01,00164,F01,00164
M01,00165,F01,00165
M01,00166,F01,00166
M01,00167,F01,00167
M01,00168,F01,00168
M01,00169,F01,00169
M01,00170,F01,00170
M01,00171,F01,00171
M01,00172,F01,00172
M01,00173,F01,00173
M01,00174,F01,00174
M01,00175,F01,00175
M01,00176,F01,00176
M01,00177,F01,00177
M01,00178,F01,00178
M01,00179,F01,00179
M01,00180,F01,00180
M01,00181,F01,00181
M01,00182,F01,00182
M01,00183,F01,00183
M01,00184,F01,00184
M01,00185,F01,00185
M01,00186,F01,00186
M01,00187,F01,00187
M01,00188,F01,00188
M01,00189,F01,00189
M01,00190,F01,00190
M01,00191,F01,00191
M01,00192,F01,00192
M01,00193,F01,00193
M01,00194,F01,00194
M01,00195,F01,00195
M01,00196,F01,00196
M01,00197,F01,00197
M01,00198,F01,00198
M01,00199,F01,00199
M01,00200,F01,00200
M01,00201,F01,00201
